,date,country,area,price(eur/mwh)
0,01.12.2022,Albania,BZN AL,
1,01.12.2022,Albania,BZN AL,
2,01.12.2022,Albania,BZN AL,
3,01.12.2022,Albania,BZN AL,
4,01.12.2022,Albania,BZN AL,
5,01.12.2022,Albania,BZN AL,
6,01.12.2022,Albania,BZN AL,
7,01.12.2022,Albania,BZN AL,
8,01.12.2022,Albania,BZN AL,
9,01.12.2022,Albania,BZN AL,
10,01.12.2022,Albania,BZN AL,
11,01.12.2022,Albania,BZN AL,
12,01.12.2022,Albania,BZN AL,
13,01.12.2022,Albania,BZN AL,
14,01.12.2022,Albania,BZN AL,
15,01.12.2022,Albania,BZN AL,
16,01.12.2022,Albania,BZN AL,
17,01.12.2022,Albania,BZN AL,
18,01.12.2022,Albania,BZN AL,
19,01.12.2022,Albania,BZN AL,
20,01.12.2022,Albania,BZN AL,
21,01.12.2022,Albania,BZN AL,
22,01.12.2022,Albania,BZN AL,
23,01.12.2022,Albania,BZN AL,
24,01.12.2022,Austria,BZN AT,370.0
25,01.12.2022,Austria,BZN AT,370.0
26,01.12.2022,Austria,BZN AT,236.07
27,01.12.2022,Austria,BZN AT,221.77
28,01.12.2022,Austria,BZN AT,408.34
29,01.12.2022,Austria,BZN AT,300.0
30,01.12.2022,Austria,BZN AT,228.93
31,01.12.2022,Austria,BZN AT,217.17
32,01.12.2022,Austria,BZN AT,370.0
33,01.12.2022,Austria,BZN AT,307.86
34,01.12.2022,Austria,BZN AT,241.16
35,01.12.2022,Austria,BZN AT,230.58
36,01.12.2022,Austria,BZN AT,225.64
37,01.12.2022,Austria,BZN AT,228.43
38,01.12.2022,Austria,BZN AT,300.0
39,01.12.2022,Austria,BZN AT,331.52
40,01.12.2022,Austria,BZN AT,69.67
41,01.12.2022,Austria,BZN AT,222.2
42,01.12.2022,Austria,BZN AT,370.0
43,01.12.2022,Austria,BZN AT,448.86
44,01.12.2022,Austria,BZN AT,35.0
45,01.12.2022,Austria,BZN AT,256.0
46,01.12.2022,Austria,BZN AT,454.14
47,01.12.2022,Austria,BZN AT,474.87
48,01.12.2022,Austria,BZN AT,-5.12
49,01.12.2022,Austria,BZN AT,427.84
50,01.12.2022,Austria,BZN AT,474.87
51,01.12.2022,Austria,BZN AT,481.82
52,01.12.2022,Austria,BZN AT,359.12
53,01.12.2022,Austria,BZN AT,474.87
