,date,country,area,mtu,price(currency/mwh),price(eur/mwh)
0,11.12.2022,Albania,BZN AL,00:00 - 01:00,,
1,11.12.2022,Albania,BZN AL,01:00 - 02:00,,
2,11.12.2022,Albania,BZN AL,02:00 - 03:00,,
3,11.12.2022,Albania,BZN AL,03:00 - 04:00,,
4,11.12.2022,Albania,BZN AL,04:00 - 05:00,,
5,11.12.2022,Albania,BZN AL,05:00 - 06:00,,
6,11.12.2022,Albania,BZN AL,06:00 - 07:00,,
7,11.12.2022,Albania,BZN AL,07:00 - 08:00,,
8,11.12.2022,Albania,BZN AL,08:00 - 09:00,,
9,11.12.2022,Albania,BZN AL,09:00 - 10:00,,
10,11.12.2022,Albania,BZN AL,10:00 - 11:00,,
11,11.12.2022,Albania,BZN AL,11:00 - 12:00,,
12,11.12.2022,Albania,BZN AL,12:00 - 13:00,,
13,11.12.2022,Albania,BZN AL,13:00 - 14:00,,
14,11.12.2022,Albania,BZN AL,14:00 - 15:00,,
15,11.12.2022,Albania,BZN AL,15:00 - 16:00,,
16,11.12.2022,Albania,BZN AL,16:00 - 17:00,,
17,11.12.2022,Albania,BZN AL,17:00 - 18:00,,
18,11.12.2022,Albania,BZN AL,18:00 - 19:00,,
19,11.12.2022,Albania,BZN AL,19:00 - 20:00,,
20,11.12.2022,Albania,BZN AL,20:00 - 21:00,,
21,11.12.2022,Albania,BZN AL,21:00 - 22:00,,
22,11.12.2022,Albania,BZN AL,22:00 - 23:00,,
23,11.12.2022,Albania,BZN AL,23:00 - 00:00,,
0,11.12.2022,Austria,BZN AT,00:00 - 01:00,,255.24
1,11.12.2022,Austria,BZN AT,01:00 - 02:00,,252.44
2,11.12.2022,Austria,BZN AT,02:00 - 03:00,,255.96
3,11.12.2022,Austria,BZN AT,03:00 - 04:00,,246.56
4,11.12.2022,Austria,BZN AT,04:00 - 05:00,,245.75
5,11.12.2022,Austria,BZN AT,05:00 - 06:00,,246.64
6,11.12.2022,Austria,BZN AT,06:00 - 07:00,,248.39
7,11.12.2022,Austria,BZN AT,07:00 - 08:00,,256.9
8,11.12.2022,Austria,BZN AT,08:00 - 09:00,,281.56
9,11.12.2022,Austria,BZN AT,09:00 - 10:00,,315.47
10,11.12.2022,Austria,BZN AT,10:00 - 11:00,,324.99
11,11.12.2022,Austria,BZN AT,11:00 - 12:00,,339.68
12,11.12.2022,Austria,BZN AT,12:00 - 13:00,,338.45
13,11.12.2022,Austria,BZN AT,13:00 - 14:00,,324.74
14,11.12.2022,Austria,BZN AT,14:00 - 15:00,,327.89
15,11.12.2022,Austria,BZN AT,15:00 - 16:00,,336.51
16,11.12.2022,Austria,BZN AT,16:00 - 17:00,,361.6
17,11.12.2022,Austria,BZN AT,17:00 - 18:00,,413.94
18,11.12.2022,Austria,BZN AT,18:00 - 19:00,,430.6
19,11.12.2022,Austria,BZN AT,19:00 - 20:00,,413.26
20,11.12.2022,Austria,BZN AT,20:00 - 21:00,,384.54
21,11.12.2022,Austria,BZN AT,21:00 - 22:00,,335.35
22,11.12.2022,Austria,BZN AT,22:00 - 23:00,,323.96
23,11.12.2022,Austria,BZN AT,23:00 - 00:00,,298.83
0,11.12.2022,Austria,BZN DE-AT-LU,00:00 - 01:00,,
