country,mtu,price(eur/mwh)
Spain,17:00 - 18:00,94.1
Spain,18:00 - 19:00,93.9
Spain,19:00 - 20:00,120.0
Spain,20:00 - 21:00,143.89
Spain,21:00 - 22:00,147.18
Spain,22:00 - 23:00,138.0
Spain,23:00 - 00:00,120.84
Sweden,00:00 - 01:00,47.82
Sweden,01:00 - 02:00,45.31
Sweden,02:00 - 03:00,41.45
Sweden,03:00 - 04:00,41.07
Sweden,04:00 - 05:00,45.35
Sweden,05:00 - 06:00,49.86
Sweden,06:00 - 07:00,50.57
Sweden,07:00 - 08:00,55.23
Sweden,08:00 - 09:00,59.51
Sweden,09:00 - 10:00,59.19
Sweden,10:00 - 11:00,52.91
Sweden,11:00 - 12:00,51.42
Sweden,12:00 - 13:00,50.11
Sweden,13:00 - 14:00,48.59
Sweden,14:00 - 15:00,48.02
Sweden,15:00 - 16:00,46.72
Sweden,16:00 - 17:00,42.06
Sweden,17:00 - 18:00,44.6
Sweden,18:00 - 19:00,48.24
Sweden,19:00 - 20:00,48.9
Sweden,20:00 - 21:00,48.91
Sweden,21:00 - 22:00,48.98
Sweden,22:00 - 23:00,47.02
Sweden,23:00 - 00:00,22.27
Sweden,00:00 - 01:00,47.82
Sweden,01:00 - 02:00,45.31
Sweden,02:00 - 03:00,41.45
Sweden,03:00 - 04:00,41.07
Sweden,04:00 - 05:00,45.35
Sweden,05:00 - 06:00,49.86
Sweden,06:00 - 07:00,50.57
Sweden,07:00 - 08:00,55.23
Sweden,08:00 - 09:00,59.51
Sweden,09:00 - 10:00,59.19
Sweden,10:00 - 11:00,52.91
Sweden,11:00 - 12:00,51.42
Sweden,12:00 - 13:00,50.11
Sweden,13:00 - 14:00,48.59
Sweden,14:00 - 15:00,48.02
Sweden,15:00 - 16:00,46.72
Sweden,16:00 - 17:00,42.06
Sweden,17:00 - 18:00,44.6
Sweden,18:00 - 19:00,48.24
Sweden,19:00 - 20:00,48.9
Sweden,20:00 - 21:00,48.91
Sweden,21:00 - 22:00,48.98
Sweden,22:00 - 23:00,47.02
Sweden,23:00 - 00:00,22.27
Sweden,00:00 - 01:00,47.82
Sweden,01:00 - 02:00,45.31
Sweden,02:00 - 03:00,41.45
Sweden,03:00 - 04:00,41.07
Sweden,04:00 - 05:00,45.35
Sweden,05:00 - 06:00,49.86
Sweden,06:00 - 07:00,50.57
Sweden,07:00 - 08:00,55.23
Sweden,08:00 - 09:00,59.51
Sweden,09:00 - 10:00,59.19
Sweden,10:00 - 11:00,52.91
Sweden,11:00 - 12:00,51.42
Sweden,12:00 - 13:00,50.11
Sweden,13:00 - 14:00,48.59
Sweden,14:00 - 15:00,48.02
Sweden,15:00 - 16:00,46.72
Sweden,16:00 - 17:00,42.06
Sweden,17:00 - 18:00,44.6
Sweden,18:00 - 19:00,48.24
Sweden,19:00 - 20:00,48.9
Sweden,20:00 - 21:00,48.91
Sweden,21:00 - 22:00,48.98
Sweden,22:00 - 23:00,47.02
Sweden,23:00 - 00:00,22.27
Sweden,00:00 - 01:00,47.82
Sweden,01:00 - 02:00,45.31
Sweden,02:00 - 03:00,41.45
Sweden,03:00 - 04:00,41.07
Sweden,04:00 - 05:00,45.35
Sweden,05:00 - 06:00,69.19
Sweden,06:00 - 07:00,134.32
Sweden,07:00 - 08:00,149.06
Sweden,08:00 - 09:00,150.25
Sweden,09:00 - 10:00,126.99
Sweden,10:00 - 11:00,113.22
Sweden,11:00 - 12:00,105.15
Sweden,12:00 - 13:00,104.16
Sweden,13:00 - 14:00,104.23
Sweden,14:00 - 15:00,103.91
Sweden,15:00 - 16:00,104.25
Sweden,16:00 - 17:00,105.59
Sweden,17:00 - 18:00,122.76
Sweden,18:00 - 19:00,134.0
Sweden,19:00 - 20:00,157.43
Sweden,20:00 - 21:00,155.0
Sweden,21:00 - 22:00,143.65
Sweden,22:00 - 23:00,131.12
Sweden,23:00 - 00:00,117.97
Switzerland,00:00 - 01:00,125.91
Switzerland,01:00 - 02:00,114.9
Switzerland,02:00 - 03:00,111.04
Switzerland,03:00 - 04:00,109.89
Switzerland,04:00 - 05:00,109.43
Switzerland,05:00 - 06:00,112.48
Switzerland,06:00 - 07:00,136.0
Switzerland,07:00 - 08:00,152.67
Switzerland,08:00 - 09:00,154.11
Switzerland,09:00 - 10:00,134.25
Switzerland,10:00 - 11:00,123.02
Switzerland,11:00 - 12:00,116.58
Switzerland,12:00 - 13:00,109.02
Switzerland,13:00 - 14:00,108.96
Switzerland,14:00 - 15:00,108.23
Switzerland,15:00 - 16:00,109.45
Switzerland,16:00 - 17:00,110.98
Switzerland,17:00 - 18:00,124.56
Switzerland,18:00 - 19:00,137.22
Switzerland,19:00 - 20:00,157.07
Switzerland,20:00 - 21:00,163.34
Switzerland,21:00 - 22:00,148.03
Switzerland,22:00 - 23:00,135.82
Switzerland,23:00 - 00:00,122.68
